entry,video,user_name,age,gender_id,country,movementyears,numvideos,whichvideos,overall,reason,ave_valence,stdev_valence,valence,ave_arousal,stdev_arousal,arousal,segment_id,start_time,end_time,laban_effort,emotion,body,cluster
14,1,1,27,M,USA,5,5,1 5 6 ,disbelief and ,"milder repeated movements, not that exaggerated or forceful",-2.101265823,2.133943843,-3,5.696202532,1.371452817,4,18,0.27,1.14,Slash,shocked,arms hands,4
14,1,1,27,M,USA,5,5,1 5 6 ,disbelief and ,"milder repeated movements, not that exaggerated or forceful",-2.101265823,2.133943843,-3,5.696202532,1.371452817,4,19,1.61,3.55,Wring,bewildered,arms hands head,4
14,1,1,27,M,USA,5,5,1 5 6 ,disbelief and ,"milder repeated movements, not that exaggerated or forceful",-2.101265823,2.133943843,-3,5.696202532,1.371452817,4,20,3.95,7.96,Float,bewildered,hands head hips,3
14,1,1,27,M,USA,5,5,1 5 6 ,disbelief and ,"milder repeated movements, not that exaggerated or forceful",-2.101265823,2.133943843,-3,5.696202532,1.371452817,4,21,9.03,9.43,Slash,anger,arms hands,1
14,1,1,27,M,USA,5,5,1 5 6 ,disbelief and ,"milder repeated movements, not that exaggerated or forceful",-2.101265823,2.133943843,-3,5.696202532,1.371452817,4,22,11.51,17.66,Glide,disbelief,feet head hips,2
14,1,1,27,M,USA,5,5,1 5 6 ,disbelief and ,"milder repeated movements, not that exaggerated or forceful",-2.101265823,2.133943843,-3,5.696202532,1.371452817,4,23,18.26,20.81,Wring,frustrated,arms hands,8
14,1,1,27,M,USA,5,5,1 5 6 ,disbelief and ,"milder repeated movements, not that exaggerated or forceful",-2.101265823,2.133943843,-3,5.696202532,1.371452817,4,24,27.56,28.77,Press,resignation,hands hips,6
34,1,2,26,M,USA,0,5,1 9 10 2 ,", stubbornness if that is an emotion","i can tell by the way that he is. also, the movements seem frantic and relatively out of control",-2.101265823,2.133943843,-3,5.696202532,1.371452817,6,85,5,7,Glide,wonder,arms hands,3
34,1,2,26,M,USA,0,5,1 9 10 2 ,", stubbornness if that is an emotion","i can tell by the way that he is. also, the movements seem frantic and relatively out of control",-2.101265823,2.133943843,-3,5.696202532,1.371452817,6,86,8,9.94,Flick, ,arms hands,1
34,1,2,26,M,USA,0,5,1 9 10 2 ,", stubbornness if that is an emotion","i can tell by the way that he is. also, the movements seem frantic and relatively out of control",-2.101265823,2.133943843,-3,5.696202532,1.371452817,6,87,16.19,16.19,Press,itchy,hands,2
34,1,2,26,M,USA,0,5,1 9 10 2 ,", stubbornness if that is an emotion","i can tell by the way that he is. also, the movements seem frantic and relatively out of control",-2.101265823,2.133943843,-3,5.696202532,1.371452817,6,88,20.91,20.91,Flick, ,hands mouth,8
34,1,2,26,M,USA,0,5,1 9 10 2 ,", stubbornness if that is an emotion","i can tell by the way that he is. also, the movements seem frantic and relatively out of control",-2.101265823,2.133943843,-3,5.696202532,1.371452817,6,89,29.41,29.41,Float,stubborn stern,hands,6
